quote,name,text
How heavy is the water?,Kiell Smith-Bynoe,"Kiell Smith-Bynoe asked ""How heavy is the water?"" during the Make the fastest egg boat task.
"
Old Honkfoot,Greg Davies,"Greg Davies refers to Jenny Eclair as ""Old Honkfoot"", during the Play the instrument indicated by the light task.
"
It's my milk now,Ivo Graham,"Ivo Graham told Alex Horne ""It's my milk now"", during the Bash the big bell with the bowling ball task.
"
Schrödinger's egg,Frankie Boyle,"Frankie Boyle asked the question ""So it's just a kind of blind Schrödinger's egg?"", during the Rotate the pulper wheel without pulping the egg task.
"
100% Bosco,Mae Martin,"Mae Martin used the phrase ""100% Bosco"" during the Repurpose this umbrella and demonstrate its new purpose task.
"
A show about pedantry,Frankie Boyle,"Frankie Boyle described Taskmaster as ""a show about pedantry"", during the Make these things the same colour as those things task.
"
A yardstick for failure,Ivo Graham,"Ivo Graham uttered the phrase ""Please stop using me as a yardstick for failure"", during the Fill the glass up to the line from the furthest distance task.
"
The natural friends,Greg Davies,"""The natural friends"" is what Greg Davies dubs the team of Julian Clary, Lucy Beaumont, and Sam Campbell, due to their particularly awkward and unenthusiastic initial meeting (which he sarcastically calls ""explosive chemistry"").
"
Hell is here,Susan Wokoma,"""Hell is here"" was uttered by Susan Wokoma, during her defence of her nails and wire portrait, in the Make a cheeky picture on wood using nails and one continuous piece of wire task.
"
Languidly,Julian Clary,"""Languidly"" is how Julian Clary describes how he approached the Get underneath the most unique things task.
"
Dynamite chicks,Sam Campbell,"Sam Campbell refers to Sue Perkins and Susan Wokoma as ""dynamite chicks"", while advocating for them to receive points for their effort during the Complete these tasks, then put the tubs back on your heads task.
"
Skateboard Division,Sam Campbell,"In the studio during the Make the most cool but scary gang using these eyes task, Sam Campbell quips that he is part of the ""Hells Angels, Skateboard Division"".
"
Brother Alex,Lucy Beaumont,"""Brother Alex"" is what Lucy Beaumont calls the character played by Alex Horne in her powerful production during the Present a piece called ""Heads, Shoulders, Knees and Toes"" task.
"
I'm off to find a robin,Julian Clary,"""I'm off to find a robin"" is uttered by Julian Clary at the end of the Put yourself somewhere within the boundary task, after Julian – who has been impersonating Alex Horne – remembers that Alex likes bird-watching.
"
Never packed a boot,Lucy Beaumont,"Lucy Beaumont mentions that she’s also ""never packed a boot"", after explaining to Greg during the Complete the fortune trail task that the reason she is so bad at coin-flipping is because there has always been a man around to do it.
"
Fagin at the disco,Sam Campbell,"During the Make Greg the best gift task, Sam Campbell – inspired by the sight of Greg in the coat Susan Wokoma had made for him – describes him as looking like “Fagin at a disco”. Fagin is the leader of the child thieves in the novel Oliver Twist, and is often portrayed in a long, ratty coat.
"
Always forks and marbles,Alex Horne,"During the Give your guest the best service task, Alex Horne (as the character ‘Qrs Tuvwxyz’) is chatting to Sue Perkins in the 'spa area' about the subject of his upcoming meeting, and states: ""It's forks and marbles, always forks and marbles"".
"
Grappling with my life,Sophie Willan,"Sophie Willan utters the phrase ""grappling with my life"" while describing how Alex had failed to help her when she was struggling in the river, during the Hoopla Gary before he crosses the finish line task.
"
Jumungo,Joanne McNally,"Joanne McNally guessed that ""Jumungo"" was the title of one of the films during the Guess the movie that your teammate is saying task (it was actually Jumanji).
"
Some impropriety?,Greg Davies,"Greg Davies removes his glasses and questions whether there may have been ""Some impropriety?"" during the Catch the most monsters in your boxes task, after Alex tells him that he need Greg to review some footage.
"
Apropos of Apoppo,Greg Davies,"Greg Davies utters the phrase ""Apropos of Apoppo"" after Sophie Willan’s attempt at the Work out who you are shaking hands with task, in which she suggests that the identify of the person she is shaking hands with might be ""Apoppo"", ""Apocalypse"", ""Apostrophe"", or ""Apropos"".
"
Snooker cue umbrella chin,Greg Davies,"Greg Davies uses the phrase ""Snooker cue umbrella chin"" when referring to Nick Mohammed’s attempt at the Be the most impressive load bearer task.
"
A three ring man,Greg Davies,"Greg Davies describes Nick Mohammed as ""a three-ring man"" at the start of the Completely cover your teammate in rubber rings task, suggesting that, based on Nick’s diminutive stature, Steve Pemberton will only need to land three of the inflatable rings on target to completely conceal him.
"
Dream date territory,Greg Davies,"Greg Davies says that ""we’re into dream-date territory"" while he’s judging the contestants’ creations, during the Paint a face on your ball task.""
"
The umbrella wink,Greg Davies,"Greg Davies tells Nick Mohammed that ""the umbrella wink"" is going to catch on, after the Put the watermelon on this table task, in which Nick winks directly at the camera almost every time that he says the word 'umbrella'.
"
Assistantbury,Steve Pemberton,"Steve Pemberton tells Alex Horne that he’ll see him at ""Assistantbury"", during the Create a new tradition to celebrate Assistant's Day task.
"
Ambience and information,Sophie Willan,"Sophie Willan explains to Greg Davies that her character of ""Cosmic Rhythm"" is providing ""Ambience and information"" during the Present the best new short-form shiny floor American gameshow task.
"
The faceless facilitators,Greg Davies,"Greg Davies claims that Alex Horne calls the members of the show’s production crew ""the faceless facilitators of his genius"", during studio discussion of Jack Dee’s attempt at the Do the most beautiful thing with bubbles task.
"
The gangsters of the sea,Greg Davies,"Greg Davies notes that Babatunde Aléshé had ""labelled the orcas the gangsters of the sea"" after Babatunde decided to refer to an orca as a ""killer whale"" because ""that sounds gangster"", during his attempt at the Put a rocket in your pocket task.
"
I'm a girl who likes a clean line,Emma Sidi,"Emma Sidi states that ""I’m a girl that likes a clean line"" during studio discussion of her attempt at the Pick the Taskmaster's locket from its pocket task.
"
Big stupid things,Emma Sidi,"Emma Sidi states that she just loves ""Big stupid things"", during studio discussion of her reaction to seeing Alex Horne dressed as a robot for the Direct the robot to its charging station task.
"
A dance as old as time itself,Andy Zaltzman,"Andy Zaltzman states that it’s ""A dance as old as time itself"", after Greg Davies says ""It's between a talking shit and a murderous pigeon"", while ruminating on the scores for the Create the most charismatic new children's television puppet sidekick for Alex task.
"
